2013/11/15,WIND_SPEED,0.8,1.4,0.9,1.6,1.1,1.3,1.2,2.2,1.7,1.1,2.2,1.5,2.5,2,3.7,4,3.4,3.1,2.3,1.8,2,1.3,1.4,1.5
2013/11/16,PM10,73,68,67,79,80,78,67,67,74,71,73,78,94,104,108,117,134,140,134,121,119,122,125,124
2013/11/16,PM2.5,41,44,43,50,54,61,57,58,56,49,52,53,68,66,68,77,86,97,88,87,86,88,86,85
2013/11/16,WIND_DIREC,21,19,19,45,23,352,21,29,2.8,40,22,22,3.4,353,10,330,15,39,32,42,36,32,28,30
2013/11/16,WIND_SPEED,1.8,1.5,2.2,1.4,1.3,1.6,1.5,2,2.2,2.2,2.7,2.9,2.9,3.8,2.7,3.2,2.9,2,2,3.1,1.5,2.1,2.1,1.3
2013/11/17,PM10,122,116,111,104,106,105,104,100,90,82,81,89,90,95,108,148,179,205,209,199,171,155,144,142
2013/11/17,PM2.5,87,81,77,77,75,69,64,60,64,55,58,54,55,57,64,72,85,101,114,104,89,76,75,65
2013/11/17,WIND_DIREC,30,32,37,34,50,116,26,23,230,70,359,356,295,355,334,38,35,38,34,36,32,34,61,99
2013/11/17,WIND_SPEED,1.5,1.2,1.3,1,0.7,0.9,1,1.4,0.9,1.6,1,1.8,1.7,3.1,3.4,3.8,3.6,3.1,1.7,1.6,1.5,1.3,0.7,0.6
2013/11/18,PM10,138,133,133,118,105,99,99,102,105,102,96,89,95,116,157,187,216,220,212,180,150,133,129,127
2013/11/18,PM2.5,63,70,70,64,52,53,51,56,51,49,44,47,52,59,62,78,82,102,90,86,65,68,60,66
2013/11/18,WIND_DIREC,46,19,31,21,36,23,38,26,74,329,25,325,33,32,39,22,318,30,29,26,16,35,44,29
2013/11/18,WIND_SPEED,1,1,1.3,0.6,1,1.4,0.7,1.9,1,1.2,1.8,1.3,1.9,3.8,3.9,4,3.4,2,2.1,2,1.6,1.2,0.8,1.9
2013/11/19,PM10,123,119,119,124,116,71,64,74,111,103,85,84,83,90,83,92,117,160,194,216,214,215,198,186
2013/11/19,PM2.5,63,67,59,66,55,51,41,49,51,51,37,45,45,60,50,54,60,77,98,121,143,151,148,125
2013/11/19,WIND_DIREC,53,23,30,25,36,31,33,85,298,333,279,310,206,232,246,240,353,19,40,25,26,22,320,26
2013/11/19,WIND_SPEED,1.2,0.9,0.9,1.2,1.4,0.8,1.1,0.9,0.7,1.6,1.7,1.7,1.5,2.2,1.8,1.1,2.7,1.6,1.1,1.4,1,0.9,0.5,0.6
2013/11/20,PM10,179,177,166,160,148,139,120,111,113,115,120,116,116,105,103,122,198,234,243,216,227,236,233,219
2013/11/20,PM2.5,121,114,121,121,114,110,85,79,74,73,71,59,60,55,61,73,134,156,169,142,145,152,149,154
2013/11/20,WIND_DIREC,66,26,34,35,27,60,29,26,318,321,220,236,223,223,281,23,26,32,36,41,60,30,21,70
2013/11/20,WIND_SPEED,0.4,1.2,0.7,0.6,0.9,0.6,0.7,1.1,0.6,1.3,1.4,1.2,1.4,1.6,1.3,1.9,2.4,1.7,1.2,1,0.8,1.1,1.1,0.7
2013/11/21,PM10,203,175,148,119,93,81,74,75,70,81,100,127,122,113,0,130,149,193,191,205,196,197,190,174
2013/11/21,PM2.5,145,123,98,82,69,58,51,50,44,51,67,74,67,59,0,39,57,81,127,140,130,131,122,127
2013/11/21,WIND_DIREC,360,59,280,122,328,29,24,30,33,32,26,34,29,19,13,27,310,19,45,25,164,279,147,57
